Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Total_Sales,Age_of_Game
66,Halo 4,28,2012,8,-1,6.63,2.36,0.04,0.73,9.76,9.76,12
67,Final Fantasy VII,15,1997,7,456,3.01,2.47,3.28,0.96,9.72,9.72,27
68,Call of Duty: Ghosts,17,2013,8,21,4.09,3.73,0.38,1.38,9.59,9.58,11
69,Just Dance 2,26,2010,3,525,5.84,2.89,0.01,0.78,9.52,9.52,14
70,Gran Turismo 2,15,1999,6,456,3.88,3.42,1.69,0.5,9.49,9.49,25
71,Call of Duty 4: Modern Warfare,28,2007,8,21,5.91,2.38,0.13,0.9,9.32,9.32,17
72,Donkey Kong Country,23,1994,4,359,4.36,1.71,3,0.23,9.3,9.3,30
73,Minecraft,28,2013,3,-1,5.58,2.83,0.02,0.77,9.2,9.2,11
74,Animal Crossing: New Leaf,2,2012,9,359,2.01,2.32,4.36,0.41,9.09,9.1,12
75,Mario Party DS,4,2007,3,359,4.46,1.88,1.98,0.7,9.02,9.02,17
76,The Elder Scrolls V: Skyrim,28,2011,7,-1,5.03,2.86,0.1,0.85,8.84,8.84,13
77,Super Mario Kart,23,1992,6,359,3.54,1.24,3.81,0.18,8.76,8.77,32
78,FIFA 16,18,2015,10,138,1.11,6.06,0.06,1.26,8.49,8.49,9
79,Wii Party,26,2010,3,359,1.79,3.53,2.49,0.68,8.49,8.49,14
80,Halo 2,29,2004,8,-1,6.82,1.53,0.05,0.08,8.49,8.48,20
81,Mario Party 8,26,2007,3,359,3.81,2.3,1.58,0.73,8.42,8.42,17
82,Pokemon Black 2/Pokemon White 2,4,2012,7,359,2.91,1.86,3.14,0.43,8.33,8.34,12
83,FIFA Soccer 13,17,2012,0,138,1.06,5.05,0.13,2.01,8.24,8.25,12
84,The Sims 3,13,2009,9,138,0.98,6.42,0,0.71,8.11,8.11,15
85,GoldenEye 007,10,1997,8,359,5.8,2.01,0.13,0.15,8.09,8.09,27
86,Mario & Sonic at the Olympic Games,26,2007,10,446,2.58,3.9,0.66,0.91,8.06,8.05,17
87,Final Fantasy X,16,2001,7,456,2.91,2.07,2.73,0.33,8.05,8.04,23
88,Final Fantasy VIII,15,1999,7,-1,2.28,1.72,3.63,0.23,7.86,7.86,25
89,Pokémon Platinum Version,4,2008,7,359,2.82,1.78,2.69,0.55,7.84,7.84,16
90,Pac-Man,0,1982,5,53,7.28,0.45,0,0.08,7.81,7.81,42
91,Grand Theft Auto: Liberty City Stories,19,2005,0,494,2.9,2.83,0.24,1.75,7.72,7.72,19
92,Super Mario Galaxy 2,26,2010,4,359,3.66,2.42,0.98,0.64,7.69,7.7,14
93,Star Wars Battlefront (2015),18,2015,8,138,2.93,3.29,0.22,1.23,7.67,7.67,9
94,Call of Duty: Advanced Warfare,18,2014,8,21,2.8,3.3,0.14,1.37,7.6,7.61,10
95,The Legend of Zelda: Ocarina of Time,10,1998,0,359,4.1,1.89,1.45,0.16,7.6,7.6,26
96,Crash Bandicoot 2: Cortex Strikes Back,15,1997,4,456,3.78,2.17,1.31,0.31,7.58,7.57,27
97,Super Mario Bros. 2,11,1988,4,359,5.39,1.18,0.7,0.19,7.46,7.46,36
98,Super Smash Bros. for Wii U and 3DS,2,2014,2,359,3.24,1.35,2.42,0.43,7.45,7.44,10
99,Call of Duty: World at War,28,2008,8,21,4.79,1.9,0,0.69,7.37,7.38,16
100,Battlefield 3,28,2011,8,138,4.46,2.13,0.06,0.69,7.34,7.34,13
101,The Legend of Zelda: Twilight Princess,26,2006,0,359,3.83,2.19,0.6,0.7,7.31,7.32,18
102,Call of Duty: Black Ops 3,30,2015,8,21,4.52,2.09,0.01,0.67,7.3,7.29,9
103,Just Dance,26,2009,3,525,3.51,3.03,0,0.73,7.27,7.27,15
104,Battlefield 3,17,2011,8,138,2.85,2.93,0.35,1.1,7.23,7.23,13
105,Need for Speed Underground,16,2003,6,138,3.27,2.83,0.08,1.02,7.2,7.2,21
106,Tekken 3,15,1998,2,456,3.27,2.22,1.4,0.29,7.16,7.18,26
107,Crash Bandicoot 3: Warped,15,1998,4,456,3.68,1.75,1.42,0.28,7.13,7.13,26
108,Super Smash Bros. Melee,7,2001,2,359,4.41,1.04,1.39,0.22,7.07,7.06,23
109,Mario Kart 8,27,2014,6,359,3.13,2.07,1.27,0.49,6.96,6.96,10
110,Fallout 4,18,2015,7,-1,2.47,3.15,0.24,1.1,6.96,6.96,9
111,Mario Kart: Double Dash!!,7,2003,6,359,4.12,1.77,0.87,0.19,6.95,6.95,21
112,Just Dance 4,26,2012,3,525,4.14,2.21,0,0.56,6.91,6.91,12
113,FIFA 14,17,2013,10,138,0.78,4.32,0.07,1.73,6.9,6.9,11
114,Need for Speed Underground 2,16,2004,6,138,2.71,3.02,0.08,1.09,6.9,6.9,20
115,Medal of Honor: Frontline,16,2002,8,138,2.93,2.75,0.17,0.99,6.83,6.84,22
116,Uncharted 3: Drake's Deception,17,2011,0,456,2.77,2.8,0.19,1.06,6.83,6.82,13
117,Crash Bandicoot,15,1996,4,456,3.23,2.35,0.94,0.3,6.82,6.82,28
118,Zumba Fitness,26,2010,10,6,3.5,2.64,0,0.67,6.81,6.81,14
119,Gears of War 2,28,2008,8,-1,4.15,1.92,0.06,0.64,6.76,6.77,16
120,Uncharted 2: Among Thieves,17,2009,0,456,3.27,2.25,0.21,1,6.73,6.73,15
121,Call of Duty 4: Modern Warfare,17,2007,8,21,3.1,2.3,0.28,1.04,6.72,6.72,17
122,FIFA 12,17,2011,10,138,0.84,4.32,0.11,1.42,6.69,6.69,13
123,Big Brain Academy,4,2005,3,359,1.67,2.78,1.6,0.62,6.67,6.67,19
124,Red Dead Redemption,17,2010,0,494,2.79,2.61,0.17,1.03,6.6,6.6,14
125,FIFA 15,18,2014,10,138,0.79,4.29,0.05,1.47,6.59,6.6,10
126,Donkey Kong Country Returns,26,2010,4,359,3.25,1.84,1.03,0.47,6.59,6.59,14
127,The Elder Scrolls V: Skyrim,17,2011,7,-1,2.55,2.71,0.25,1.05,6.56,6.56,13
128,The Legend of Zelda,11,1986,0,359,3.74,0.93,1.69,0.14,6.51,6.5,38
129,Assassin's Creed III,17,2012,0,525,2.64,2.56,0.16,1.14,6.5,6.5,12
130,Halo: Combat Evolved,29,2001,8,-1,4.98,1.3,0.08,0.07,6.43,6.43,23
131,Pokémon Emerald Version,6,2004,7,359,2.57,1.58,2.06,0.21,6.41,6.42,20
132,Kingdom Hearts,16,2002,7,456,3.64,1.2,1.49,0.07,6.4,6.4,22
133,Pokémon Crystal Version,5,2000,7,359,2.55,1.56,1.29,0.99,6.39,6.39,24
134,Halo 3: ODST,28,2009,8,-1,4.34,1.35,0.06,0.61,6.36,6.36,15
135,Red Dead Redemption,28,2010,0,494,3.7,1.97,0.09,0.57,6.34,6.33,14
136,Super Mario Sunshine,7,2002,4,359,4.01,1.26,0.87,0.17,6.31,6.31,22
137,Street Fighter II: The World Warrior,23,1992,2,85,2.47,0.83,2.87,0.12,6.3,6.29,32
138,World of Warcraft,13,2004,7,21,0.07,6.21,0,0,6.28,6.28,20
139,Driver,15,1999,0,-1,3.11,2.8,0.02,0.33,6.27,6.26,25
140,Kinect Sports,28,2010,10,-1,3.92,1.78,0.03,0.51,6.24,6.24,14
141,Gears of War 3,28,2011,8,-1,4.05,1.62,0.07,0.49,6.24,6.23,13
142,Gears of War,28,2006,8,-1,3.54,1.9,0.07,0.6,6.11,6.11,18
143,Metal Gear Solid 2: Sons of Liberty,16,2001,0,275,2.45,2.01,0.87,0.72,6.05,6.05,23
144,Sonic the Hedgehog 2,8,1992,4,446,4.47,1.2,0.16,0.19,6.03,6.02,32
145,Metal Gear Solid 4: Guns of the Patriots,17,2008,0,275,2.63,1.74,0.83,0.83,6.03,6.03,16
146,Metal Gear Solid,15,1998,0,275,3.18,1.83,0.78,0.24,6.03,6.03,26
147,The Last of Us,17,2013,0,-1,2.41,2.28,0.28,1.01,5.99,5.98,11
148,Final Fantasy XII,16,2006,7,465,1.88,0,2.33,1.74,5.95,5.95,18
149,LittleBigPlanet,17,2008,4,456,2.8,2.05,0.17,0.9,5.92,5.92,16
150,Dragon Quest IX: Sentinels of the Starry Skies,4,2009,7,359,0.66,0.69,4.35,0.15,5.84,5.85,15
151,LEGO Star Wars: The Complete Saga,26,2007,0,-1,3.66,1.63,0,0.53,5.83,5.82,17
152,Resident Evil 2,15,1998,0,-1,1.88,1.47,2.02,0.45,5.82,5.82,26
153,Tekken 2,15,1996,2,456,2.26,1.89,1.36,0.23,5.74,5.74,28
154,Cooking Mama,4,2006,9,6,3.13,1.94,0.07,0.58,5.72,5.72,18
155,Destiny,18,2014,8,21,2.49,2.05,0.16,0.96,5.65,5.66,10
156,Tetris,11,1988,5,359,2.97,0.69,1.81,0.11,5.58,5.58,36
157,Assassin's Creed II,17,2009,0,525,2.54,1.95,0.21,0.87,5.57,5.57,15
158,Super Smash Bros.,10,1999,2,359,2.95,0.6,1.97,0.04,5.55,5.56,25
159,Assassin's Creed,28,2007,1,525,3.28,1.65,0.07,0.55,5.55,5.55,17
160,Batman: Arkham City,17,2011,0,549,2.7,1.91,0.11,0.8,5.53,5.52,13
161,Forza Motorsport 3,28,2009,6,-1,2.99,1.92,0.1,0.51,5.51,5.52,15
162,Monster Hunter Freedom Unite,19,2008,7,85,0.47,0.57,4.13,0.34,5.5,5.51,16
163,Super Mario Advance,6,2001,4,359,3.14,1.24,0.91,0.2,5.49,5.49,23
164,Mario Kart: Super Circuit,6,2001,6,359,2.62,1.64,0.99,0.23,5.47,5.48,23
165,Super Mario World,6,2001,4,359,3.21,1.11,0.95,0.2,5.46,5.47,23
166,Pokemon Stadium,10,1999,11,359,3.18,1.24,0.94,0.09,5.45,5.45,25
167,Call of Duty: World at War,17,2008,8,21,2.72,1.87,0,0.84,5.43,5.43,16
168,Crash Bandicoot: The Wrath of Cortex,16,2001,4,-1,2.07,2.29,0.24,0.82,5.42,5.42,23
169,Minecraft,17,2014,3,456,1.97,2.51,0,0.94,5.42,5.42,10
170,Final Fantasy XIII,17,2009,7,465,1.74,1.24,1.87,0.52,5.36,5.37,15
171,Dr. Mario,5,1989,5,359,2.18,0.96,2,0.2,5.34,5.34,35
172,Pokemon Pinball,5,1999,3,359,3.02,1.12,1.01,0.16,5.31,5.31,25
173,Assassin's Creed III,28,2012,0,525,3.13,1.71,0.03,0.44,5.3,5.31,12
174,Final Fantasy IX,15,2000,7,-1,1.62,0.77,2.78,0.14,5.3,5.31,24
175,Final Fantasy X-2,16,2003,7,138,1.92,1.08,2.11,0.17,5.29,5.28,21
176,Donkey Kong 64,10,1999,4,359,3.33,0.79,1.09,0.06,5.27,5.27,25
177,Assassin's Creed II,28,2009,0,525,3.1,1.56,0.08,0.51,5.27,5.25,15
178,Professor Layton and the Curious Village,4,2007,5,359,1.22,2.48,1.03,0.52,5.26,5.25,17
179,Tomb Raider II,15,1997,0,137,2.3,2.46,0.2,0.28,5.24,5.24,27
180,Madden NFL 2004,16,2007,10,138,4.26,0.26,0.01,0.71,5.23,5.24,17
181,Dragon Quest VIII: Journey of the Cursed King,16,2004,7,465,0.65,0.75,3.61,0.2,5.21,5.21,20
182,Diablo III,13,2012,7,21,2.43,2.15,0,0.62,5.2,5.2,12
183,Super Mario Bros. 3,6,2003,4,359,2.93,1.25,0.83,0.2,5.2,5.21,21
184,New Super Mario Bros. U,27,2012,4,359,2.32,1.3,1.27,0.31,5.19,5.2,12
185,Super Mario Land 3: Wario Land,5,1994,4,359,2.49,0.98,1.57,0.15,5.19,5.19,30
186,FIFA Soccer 13,28,2012,0,138,1.08,3.48,0.03,0.58,5.18,5.17,12
187,The Legend of Zelda: Phantom Hourglass,4,2007,0,359,1.9,1.83,0.95,0.49,5.17,5.17,17
188,Donkey Kong Country 2: Diddy's Kong Quest,23,1995,4,359,2.1,0.74,2.2,0.11,5.15,5.15,29
189,Tomodachi Life,2,2013,9,359,0.96,2.02,1.89,0.28,5.15,5.15,11
190,Mario & Sonic at the Olympic Games,4,2008,10,446,1.64,2.48,0.44,0.58,5.14,5.14,16
191,Medal of Honor: Rising Sun,16,2003,8,138,1.98,2.23,0.13,0.8,5.13,5.14,21
192,Kirby's Dream Land,5,1992,4,359,2.71,0.61,1.7,0.11,5.13,5.13,32
193,Fable III,28,2010,7,-1,3.59,1.11,0.05,0.38,5.13,5.13,14
194,Call of Duty: Advanced Warfare,30,2014,8,21,3.21,1.53,0.01,0.38,5.13,5.13,10
195,Microsoft Flight Simulator,13,1996,9,-1,3.22,1.69,0,0.2,5.12,5.11,28
196,Guitar Hero II,16,2006,3,-1,3.81,0.63,0,0.68,5.12,5.12,18
197,Resident Evil 5,17,2009,0,85,1.96,1.43,1.08,0.65,5.11,5.12,15
198,Grand Theft Auto V,30,2014,0,494,2.66,2.01,0,0.41,5.08,5.08,10
199,Grand Theft Auto: Vice City Stories,19,2006,0,494,1.7,2.02,0.16,1.21,5.08,5.09,18
200,FIFA Soccer 11,17,2010,10,138,0.6,3.29,0.06,1.13,5.08,5.08,14
201,Super Mario Bros.,5,1999,4,359,3.4,1.3,0.15,0.22,5.07,5.07,25
202,Resident Evil,15,1996,0,-1,2.05,1.16,1.11,0.73,5.05,5.05,28
203,Tony Hawk's Pro Skater,15,1999,10,21,3.42,1.38,0.02,0.2,5.02,5.02,25
204,Super Smash Bros. for Wii U and 3DS,27,2014,2,359,2.59,1.06,0.8,0.57,5.02,5.02,10
205,Warzone 2100,15,1999,11,137,2.79,1.89,0,0.33,5.01,5.01,25
206,Spyro the Dragon,15,1998,4,456,3.36,1.36,0.07,0.21,5,5,26
207,Link's Crossbow Training,26,2007,8,359,3.06,1.18,0.29,0.46,5,4.99,17
208,Guitar Hero III: Legends of Rock,16,2007,3,21,3.49,0.01,0.01,1.48,4.98,4.99,17
209,Fallout 3,28,2008,7,-1,3.39,1.03,0.09,0.44,4.96,4.95,16
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,4,2007,7,359,1.85,1.2,1.54,0.37,4.96,4.96,17
211,Uncharted: Drake's Fortune,17,2007,0,456,2.31,1.73,0.12,0.78,4.94,4.94,17
212,Madden NFL 06,16,2005,10,138,3.98,0.26,0.01,0.66,4.91,4.91,19
213,LEGO Star Wars: The Complete Saga,4,2007,0,-1,2.89,1.54,0,0.46,4.9,4.89,17
214,Diddy Kong Racing,10,1997,6,359,2.91,0.99,0.89,0.1,4.88,4.89,27
215,Monster Hunter Freedom 3,19,2010,7,85,0,0,4.87,0,4.87,4.87,14
216,Dr. Mario,11,1990,5,359,2.62,0.6,1.52,0.1,4.85,4.84,34
217,God of War III,17,2010,0,456,2.74,1.36,0.12,0.63,4.84,4.85,14
218,StarCraft II: Wings of Liberty,13,2010,11,21,2.56,1.68,0,0.59,4.83,4.83,14
219,Assassin's Creed,17,2007,1,525,1.91,2,0.09,0.83,4.83,4.83,17
220,FIFA 15,17,2014,10,138,0.57,3.14,0.04,1.07,4.82,4.82,10
221,Crash Team Racing,15,1999,6,456,2.57,1.57,0.44,0.21,4.79,4.79,25
222,FIFA 17,18,2016,10,138,0.28,3.75,0.06,0.69,4.77,4.78,8
223,Batman: Arkham City,28,2011,0,549,2.99,1.31,0.04,0.41,4.76,4.75,13
224,Driver 2,15,2000,0,53,2.36,2.1,0.02,0.25,4.73,4.73,24
225,The Simpsons: Hit & Run,16,2003,6,-1,1.73,2.19,0,0.79,4.7,4.71,21
226,Tony Hawk's Pro Skater 2,15,2000,10,21,3.05,1.41,0.02,0.2,4.68,4.68,24
227,Animal Crossing: City Folk,26,2008,9,359,1.87,1.12,1.32,0.37,4.68,4.68,16
228,The Lord of the Rings: The Two Towers,16,2002,0,138,1.94,1.95,0.08,0.7,4.67,4.67,22
229,Forza Motorsport 4,28,2011,6,-1,2.08,2.04,0.06,0.47,4.64,4.65,13
230,Tomb Raider,15,1996,0,137,2.29,1.97,0.13,0.24,4.63,4.63,28
231,Guitar Hero III: Legends of Rock,26,2007,3,21,3.06,1.12,0,0.44,4.62,4.62,17
232,The Legend of Zelda: A Link to the Past,23,1991,0,359,2.42,0.91,1.15,0.13,4.61,4.61,33
233,The Legend of Zelda: The Wind Waker,7,2002,0,359,2.6,0.99,0.89,0.13,4.6,4.61,22
234,Mario & Sonic at the Olympic Winter Games,26,2009,10,446,1.89,1.99,0.22,0.48,4.58,4.58,15
235,Luigi's Mansion: Dark Moon,2,2013,0,359,1.78,1.39,1.1,0.3,4.58,4.57,11
236,Splatoon,27,2015,8,359,1.55,1.15,1.44,0.43,4.57,4.57,9
237,The Last of Us,18,2014,0,456,1.78,1.87,0.07,0.82,4.55,4.54,10
238,Guitar Hero III: Legends of Rock,28,2007,3,21,3.19,0.92,0.01,0.42,4.53,4.54,17
239,Madden NFL 2005,16,2004,10,138,4.18,0.26,0.01,0.08,4.53,4.53,20
240,Pitfall!,0,1981,4,21,4.21,0.24,0,0.05,4.5,4.5,43
241,Madden NFL 07,16,2006,10,138,3.63,0.24,0.01,0.61,4.49,4.49,18
242,Spider-Man: The Movie,16,2002,0,21,2.71,1.51,0.03,0.23,4.48,4.48,22
243,Dragon Quest VII: Warriors of Eden,15,2000,7,-1,0.2,0.14,4.1,0.02,4.47,4.46,24
244,Uncharted: The Nathan Drake Collection,18,2015,0,456,1.96,1.69,0.08,0.74,4.47,4.47,9
245,Call of Duty: Advanced Warfare,17,2014,8,21,1.54,1.94,0.19,0.77,4.45,4.44,10
246,God of War,16,2005,0,456,2.71,1.29,0.02,0.43,4.45,4.45,19
247,Nintendo Land,27,2012,3,359,2.55,1.11,0.46,0.33,4.44,4.45,12
248,Michael Jackson: The Experience,26,2010,3,525,2.67,1.35,0.01,0.39,4.42,4.42,14
249,Tony Hawk's Pro Skater 3,16,2001,10,21,2.66,1.29,0.01,0.46,4.41,4.42,23
250,Winning Eleven: Pro Evolution Soccer 2007,16,2006,10,275,0.1,2.39,1.05,0.86,4.39,4.4,18
251,The Elder Scrolls IV: Oblivion,28,2006,7,494,2.82,1.05,0.13,0.4,4.39,4.4,18
252,Zelda II: The Adventure of Link,11,1987,1,359,2.19,0.5,1.61,0.08,4.38,4.38,37
253,Need for Speed: Most Wanted,16,2005,6,138,2.03,1.79,0.08,0.47,4.37,4.37,19
254,Resistance: Fall of Man,17,2006,8,456,1.73,1.73,0.14,0.75,4.35,4.35,18
255,Sonic the Hedgehog,8,1991,4,446,3.03,0.91,0.26,0.13,4.34,4.33,33
256,Kingdom Hearts II,16,2005,7,465,2.2,0.58,1.38,0.17,4.33,4.33,19
257,FIFA 14,28,2013,10,138,0.92,2.93,0.01,0.46,4.31,4.32,11
258,Call of Duty: Advanced Warfare,28,2014,8,21,2.75,1.18,0,0.37,4.31,4.3,10
259,Asteroids,0,1980,8,53,4,0.26,0,0.05,4.31,4.31,44
260,Fable II,28,2008,7,-1,2.51,1.27,0.11,0.41,4.31,4.3,16
261,Halo 5: Guardians,30,2015,8,-1,2.64,1.2,0.03,0.39,4.26,4.26,9
262,Super Mario 3D World,27,2013,4,359,2.11,1.11,0.72,0.3,4.25,4.24,11
263,Batman: Arkham Asylum,17,2009,0,137,2.23,1.34,0.07,0.61,4.25,4.25,15
264,Assassin's Creed: Revelations,17,2011,0,525,1.41,2.02,0.1,0.72,4.24,4.25,13
265,Namco Museum,6,2001,3,347,3,1.11,0.05,0.07,4.24,4.23,23
266,Metal Gear Solid 3: Snake Eater,16,2004,0,275,1.46,0,0.83,1.93,4.23,4.22,20
267,Daxter,19,2006,4,456,2.45,1.02,0,0.75,4.22,4.22,18
268,Warcraft II: Tides of Darkness,13,1995,11,21,1.7,2.27,0,0.23,4.21,4.2,29
269,The Legend of Zelda: Ocarina of Time,2,2011,0,359,2.03,1.27,0.62,0.3,4.21,4.22,13
270,FIFA Soccer 06,16,2005,10,138,0.78,2.55,0.04,0.84,4.21,4.21,19
271,EyeToy Play,16,2003,3,456,0.88,2.3,0.2,0.83,4.2,4.21,21
272,Uncharted 4: A Thief's End,18,2016,8,456,1.3,2.07,0.18,0.65,4.2,4.2,8
273,Gran Turismo 5 Prologue,17,2007,6,456,1.28,1.83,0.57,0.53,4.2,4.21,17
274,Assassin's Creed: Revelations,28,2011,0,525,2.25,1.47,0.04,0.43,4.19,4.19,13
275,Street Fighter IV,17,2009,2,85,2.02,1.06,0.58,0.53,4.19,4.19,15
276,FIFA 12,28,2011,10,138,0.84,2.79,0.02,0.53,4.19,4.18,13
277,Teenage Mutant Ninja Turtles,11,1989,0,-1,3.38,0.44,0.31,0.04,4.17,4.17,35
278,Excitebike,11,1984,6,359,2.04,0.48,1.57,0.07,4.16,4.16,40
279,Frogger,15,1997,0,-1,3.79,0.27,0,0.11,4.16,4.17,27
280,Madden NFL 2003,16,2002,10,138,3.36,0.21,0.01,0.56,4.14,4.14,22
281,Watch Dogs,18,2014,0,525,1.4,1.86,0.11,0.77,4.14,4.14,10
282,Half-Life,13,1997,8,-1,4.03,0,0.09,0,4.12,4.12,27
283,Super Mario World 2: Yoshi's Island,23,1995,4,359,1.65,0.61,1.76,0.09,4.12,4.11,29
